,text,text_clean
7966,"insufficient, and, on the other hand, in reality, it is a genesis which he seems to 
",insufficient hand reality genesis seems
7967,"wish to bring about. 
",wish bring
7968,"Concerning doubt and its origin, the first question which comes to mind is 
",concerning doubt origin first question comes mind
7969,"whether, phenomenologically, doubt is, as Husserl says, a mode of passage 
",whether phenomenologically doubt husserl says mode passage
7970,"between affirmation and negation, an intermediary between them. 143 
",affirmation negation intermediary
7971,"A second question may be posed concerning doubt. What characterizes 
",second question may posed concerning doubt characterizes
7972,"perception is what Husserl calls its bodily presence. But if we hesitate between 
",perception husserl calls bodily presence hesitate
7973,"one manner of qualifying perception and another (for example, is it a man, or 
",one manner qualifying perception another example man
7974,"a marionette?), do we say that there are two perceptions, each of which has the 
",marionette say two perceptions
7975,"character of bodily presence successively? But what do we say of our 
",character bodily presence successively say
7976,"perception before our hesitation? Husserl proposes that we must say then, 
",perception hesitation husserl proposes must say
7977,"that there is not only a mode of bodily presence, but, added to it, a mode of 
",mode bodily presence added mode
7978,"value or being, so that to the bodily presence of each of the two successive 
",value bodily presence two successive
7979,"interpretations, it wil be necessary to add a mode of value, which will be that 
",interpretations wil necessary add mode value
7980,"of the questionable or of the criticizable. 144 
",questionable criticizable
7981,"When passing to the study of the idea of substrate, Husserl asserts that 
",passing study idea substrate husserl asserts
7982,"there are substrates which do not arise through substratization, absolute 
",substrates arise substratization absolute
7983,"substrates, and that multiplicity leads us to absolute unities, to ultimate bodies 
",substrates multiplicity leads us absolute unities ultimate bodies
7984,"which are no longer in a configuration. '45 We may ask whether this is 
",longer configuration may ask whether
7985,"legitimate from a purely phenomenological viewpoint. Let us comment, 
",legitimate purely phenomenological viewpoint let us comment
7986,"moreover, that he said that, on the one hand, all finite substrates have the 
",moreover said one hand finite substrates
7987,"determinability of the being-in-something, and that this holds to infinity.'46 
",determinability beinginsomething holds infinity
7988,"But on the same page, he admits an absolute substrate, the world. How can 
",page admits absolute substrate world
7989,"this be, since we have seen that one is able to go from determination to 
",since seen one able go determination
7990,"determination infinitely? Isn't it necessary to say that the world exists prior to 
",determination infinitely isnt necessary say world exists prior
7991,"determinations, exists as that in which are all determinations, and is it not a 
",determinations exists determinations
7992,"matter of going from them to the world? And, in fact, from this perspective, it 
",matter going world fact perspective
7993,"is possible to maintain Husserl's two assertions. 
",possible maintain husserls two assertions
7994,"But another question presents itself. It seems that he admits, beside the 
",another question presents seems admits beside
7995,"absolute of the world, another absolute, a real finite multiplicity, a 
",absolute world another absolute real finite multiplicity
7996,"mUltiplicity, he says, which is one qua reality, which is permanent, or at least 
",multiplicity says one qua reality permanent least
7997,"persistent, within the causality of its transformations. How can he say, then, 
",persistent within causality transformations say
7998,"that only the world is independent, and, what becomes of the other absolute 
",world independent becomes absolute
7999,"about which he speaks, at the bottom of the same page?"" ... only the world is 
",speaks bottom page world
8000,"independent, only it is absolute substrate in the strict sense of absolute 
",independent absolute substrate strict sense absolute
8001,"independence .... ""147 
",independence
8002,"A new question may be posed concerning the very content of the idea of the 
",new question may posed concerning content idea
8003,"world; in fact, the world of our experience, taken concretely, is not only the 
",world fact world experience taken concretely
8004,"totality of nature; there are also within it, as Husser! notes, the others, our 
",totality nature also within husser notes others
8005,"companions in humanity, as well as the things which do not have only 
",companions humanity well things
8006,"natural determinations, but which are determined as objects of culture, as 
",natural determinations determined objects culture
8007,"things molded by humanity, with their predicates of value, of utility, etc. 14X 
",things molded humanity predicates value utility etc x
8008,"But, instead of saying, as we would expect, that the world of persons, of 
",instead saying would expect world persons
8009,"animals, and of cultural objects, is apprehended immediately as the external 
",animals cultural objects apprehended immediately external
8010,"world, Husserl asserts, on the one hand, that we can grasp everything 
",world husserl asserts one hand grasp everything
8011,"corporeal by a direct perception; but, on the other hand, when we encounter 
",corporeal direct perception hand encounter
8012,"men, animals, or cultural objects, we no longer have simple nature, but what 
",men animals cultural objects longer simple nature
8013,"he calls an expression of the ""spiritual sense of being."" Then, he says, we are 
",calls expression spiritual sense says
8014,"led beyond that which is experienceable by the senses. He maintains that the 
",led beyond experienceable senses maintains
8015,"determinations, on the basis of which an existent is not only a natural body, 
",determinations basis existent natural body
8016,"but is determined, and experienceable as person, as animal, as cultural object, 
",determined experienceable person animal cultural object
8017,"are determinations of a completely different order than the determinations of 
",determinations completely different order determinations
8018,"body as body. They are not at all perceived, in comparison to the thing, in a 
",body body perceived comparison thing
8019,"perception of the first order, as is a determination such as their color. 
",perception first order determination color
8020,"Certainly, an existent which is not simply natural, but which is perceived as 
",certainly existent simply natural perceived
8021,"person, as animal, or as cultural object, has its personal determinations; 149 and 
",person animal cultural object personal determinations
8022,"he adds that, with regard to these determinations, it is, itself, a substrate. 
",adds regard determinations substrate
8023,"But this last observation concerning the personality and the character of the 
",last observation concerning personality character
8024,"substrates of the perceptions of the second degree, which seems to be 
",substrates perceptions second degree seems
8025,"supportable, does not eliminate what seems to us to be disputable in the 
",supportable eliminate seems us disputable
8026,"separation which he just effected. Even if he said that these substrates have 
",separation effected even said substrates
8027,"their independence, he adds that this independence is only relative, and that it 
",independence adds independence relative
8028,"is not an independence with regard to the objects of the first order, on which 
",independence regard objects first order
8029,"perception of the second order is founded. I50 
",perception second order founded
8030,"In this way we are brought back to the idea that substrates are only absolute 
",way brought back idea substrates absolute
8031,"in the sense of being originally experienceable in an originary experience of the 
",sense originally experienceable originary experience
8032,"first order, of being the individual objects of external sensuous perception, 
",first order individual objects external sensuous perception
8033,"that is, bodies. I51 It is only in a broader sense that we are able to call 
",bodies broader sense able call
8034,"objectivities of the second order, absolute substrates. I52 
",objectivities second order absolute substrates
8035,"Concerning the broadest concept of absolute substrate, which could be 
",concerning broadest concept absolute substrate could
8036,"called the absolutely indeterminate something, the question is whether this 
",called absolutely indeterminate something question whether
8037,"concept can have any value within a theory which so completely separates the 
",concept value within theory completely separates
8038,"objects of the first and second orders; moreover, can't this completely 
",objects first second orders moreover cant completely
8039,"indeterminate something be identified with the ""this here"" except if one admits 
",indeterminate something identified except one admits
8040,"the ideas that Hegel maintained in the Phenomenology ofMind?I53 
",ideas hegel maintained phenomenology ofmindi
8041,"Later on, Husser! comes to the distinction between the relation subsisting 
",later husser comes distinction relation subsisting
8042,"between a thing and its surface, and the relation of a thing with its quality of 
",thing surface relation thing quality
8043,"being polished or rough. The surface, he says, is bound to the thing only 
",polished rough surface says bound thing
8044,"mediately, through the intermediary of the idea of extension. I54 But, one 
",mediately intermediary idea extension one
8045,"might ask, aren't there more fundamental differences than those which he 
",might ask arent fundamental differences
8046,"brings to light, between these two attributions of the thing? 
",brings light two attributions thing
8047,"In the third chapter, we again encounter some of the presuppositions which 
",third chapter encounter presuppositions
8048,"have already been criticized: first, the idea that we start from a multiplicity of 
",already criticized first idea start multiplicity
8049,"substrates which affect us simultaneously.I55 
",substrates affect us simultaneouslyi
8050,"Concerning this question of the plurality of objects which are taken as a 
",concerning question plurality objects taken
8051,"point of departure, it may, most certainly, be observed that Husser! tells us 
",point departure may certainly observed husser tells us
8052,"that this multiplicity must be considered as a bound unity, similar to that of an 
",multiplicity must considered bound unity similar
8053,"isolated individual. I56 From this point of view, ifit is retrospectively applied, 
",isolated individual point view ifit retrospectively applied
8054,"to the end of correcting the preceding passages, his descriptions would escape 
",end correcting preceding passages descriptions would escape
8055,"our criticisms. 
",criticisms
8056,"We have noted the difficulties which arise as a consequence of the 
",noted difficulties arise consequence
8057,"separation between the active and the passive spheres of consciousness. I57 
",separation active passive spheres consciousness
8058,"Here we see that he interposes between the two, the sphere of active pre-
",see interposes two sphere active pre
8059,"constitution.l58 
",constitutionl
8060,"Where as he wishes to restrict himself, as far as possible, to the ante-
",wishes restrict far possible ante
8061,"predicative sphere, and to what is given in person in perception, he recognizes 
",predicative sphere given person perception recognizes
8062,"that it will be necessary to go above these spheres.l59 
",necessary go spheresl
8063,"Idealist tendencies are seen equally when Husser!, here conforming to the 
",idealist tendencies seen equally husser conforming
8064,"Kantian tradition, leads us to the idea of a unity of intuition, that, he declares, 
",kantian tradition leads us idea unity intuition declares
8065,"is larger than had been exposed until now, but which, nevertheless, entails an 
",larger exposed nevertheless entails
8066,"entirely idealist construction. 16o Similarly, he speaks further of a unity of lived 
",entirely idealist construction similarly speaks unity lived
8067,"experiences which constitute objectivities. 161 He is led to distinguish a time of 
",experiences constitute objectivities led distinguish time
8068,"lived experiences, which is different from the time of objectivities, which are 
",lived experiences different time objectivities
8069,"the objects of their intentions. 162 As in Kantian philosophy, he must seek the 
",objects intentions kantian philosophy must seek
8070,"condition of the possibility of all unity of intuition within the unity of the 
",condition possibility unity intuition within unity
8071,"temporal intuition. 163 When he comes to the question of the foundation of 
",temporal intuition comes question foundation
8072,"formal relations, he sees it within a formal, ontological unity, which bears 
",formal relations sees within formal ontological unity bears
8073,"neither on a real connection of unified objects, nor on the essential moments. 
",neither real connection unified objects essential moments
8074,"""It is a unity which extends to all possible objects, individual or not individual; 
",unity extends possible objects individual individual
8075,"it is the collective form of unity, that of assemblage. ""164 
",collective form unity assemblage
8076,"He comes, in this way, to the idea that everything is intuitable in a single 
",comes way idea everything intuitable single
8077,"consciousness, all the possible, which, moreover, includes all the real. This 
",consciousness possible moreover includes real
8078,"consciousness is the originary intuition, as possible, and as actual. Naturally, 
",consciousness originary intuition possible actual naturally
8079,"he adds, to make an object of the totality of the collection of things, is an 
",adds make object totality collection things
8080,"accomplishment of a higher order, and not an accomplishment of 
",accomplishment higher order accomplishment
8081,"receptivity, but of productive spontaneity. Although he adds that these formal 
",receptivity productive spontaneity although adds formal
8082,"relations would assume the accomplishments of predica tive thought, it is none 
",relations would assume accomplishments predica tive thought none
8083,"the less true that we are in danger of losing all the precious acquisitions of 
",less true danger losing precious acquisitions
8084,"ante-predicative realism which we have stressed, to a constructive idealism. 
",antepredicative realism stressed constructive idealism
8085,"TRANSLATOR'S NOTE 
",translators note
8086,"'In the text. paragraph 82, page 32, Wahl's translation of Husserl's text (see 
",text paragraph page wahls translation husserls text see
8087,"footnote 121) changes the affirmation concerning ""form"" which is in the 
",footnote changes affirmation concerning form
8088,"original, to a negation. We have rectified this. Whether or not this is a simple 
",original negation rectified whether simple
8089,"error, as the following paragraph suggests. or represents an unclarified moment 
",error following paragraph suggests represents unclarified moment
8090,"in Wahl's interpretation, is not clear. 
",wahls interpretation clear
8091,"NOTES TO THE TEXT 
",notes text
8092,"I. The work was first printed in Prague, in 1939. and became unavailable 
",work first printed prague became unavailable
8093,"until it was reprinted in 1948. It is appropriate to note that Experience and 
",reprinted appropriate note experience
8094,"Judgment cannot, in its totality. be attributed to Husser!. The work is ""edited 
",judgment cannot totality attributed husser work edited
8095,"and published"" with the assistance of Ludwig Landgrebe. In 1928, H usserl asked 
",published assistance ludwig landgrebe h usserl asked
8096,"Landgrebe to assemble and put in order a certain number of his manuscripts 
",landgrebe assemble put order certain number manuscripts
8097,"concerning the domain of transcendental logic. A course which was given by 
",concerning domain transcendental logic course given
8098,"H usserl in 1919-20 furnished the starting point for this arrangement. Landgrebe 
",h usserl furnished starting point arrangement landgrebe
8099,"also called on a group of older manuscripts (1910-14), and on some lectures of 
",also called group older manuscripts lectures
8100,"1920. H usserl reviewed and completed what Landgrebe had done. After the 
",h usserl reviewed completed landgrebe done
8101,"publication of Formal and transcendental Logic (1929), a second drafting was 
",publication formal transcendental logic second drafting
8102,"envisaged, which would take account, along with the manuscripts previously 
",envisaged would take account along manuscripts previously
8103,"cited, of others dating from 1919-20, and of the Formal and Transcendental 
",cited others dating formal transcendental
8104,"Logic. But, given the diversity of the manuscripts, and their fragmentary 
",logic given diversity manuscripts fragmentary
8105,"character, a general revision became necessary, to the end of making the whole 
",character general revision became necessary end making whole
8106,"more homogeneous, of economizing the transitions, and of establishing a 
",homogeneous economizing transitions establishing
8107,"division into paragraphs and chapters. This revision was not accomplished by 
",division paragraphs chapters revision accomplished
8108,"H usserl but by Landgrebe, and, what is most important, most significant, 
",h usserl landgrebe important significant
8109,"""where the analyses had only been indicated, it would be necessary to complete 
",analyses indicated would necessary complete
8110,"them."" This was to be, again, the task of Landgrebe. But, we must also say that 
",task landgrebe must also say
8111,"he conversed frequently, and at length with Husserl on these subjects, so that, 
",conversed frequently length husserl subjects
8112,"he tells us, ""even where the text could not be directly supported by the 
",tells us even text could directly supported
8113,"manuscripts, it contains nothing, however, which could not be supported by the 
",manuscripts contains nothing however could supported
8114,"oral expression of Husser!, and which did not have his consent,"" Finally, 
",oral expression husser consent finally
8115,"Husser!' himself, added some remarks. We must note, particularly, that the 
",husser added remarks must note particularly
8116,"introduction (EJ, E - pp. 11-68, F - pp. 11-80, G - pp. 1-72) was drafted by 
",introduction ej e pp f pp g pp drafted
8117,"Landgrebe. who had ""freely rendered"" the thoughts of Husserl, following his 
",landgrebe freely rendered thoughts husserl following
8118,"writings in the Crisis, and in the Formal and Transcendental Logic, aided by the 
",writings crisis formal transcendental logic aided
8119,"conversations between himself and Husser! and having recourse to the 
",conversations husser recourse
8120,"manuscripts of 1919-34. H usserl approved the whole, Landgrebe tells us. It is 
",manuscripts h usserl approved whole landgrebe tells us
8121,"none the less true that he did not hurry to publish this text, holding on to it until 
",none less true hurry publish text holding
8122,"his death. 
",death
8123,"2. EJ, E - p. 19, F - pp. 20-21, G - p. II. It would be interesting to give, in this 
",ej e p f pp g p ii would interesting give
8124,"footnote, this fragment of a letter of W. Biemel which, while recognizing the 
",footnote fragment letter w biemel recognizing
8125,"realist character of the text, tends to diminish its importance: ""I ask myself if the 
",realist character text tends diminish importance ask
8126,"first pages of your study are entirely just. In fact, in the reading of Experience 
",first pages study entirely fact reading experience
8127,"and Judgment, one is struck by its 'realist' charactl~r. It is thus, perhaps, because 
",judgment one struck realist charactlr thus perhaps
8128,"Husser! did not begin with an exposition of the nature of consciousness, but 
",husser begin exposition nature consciousness
8129,"through a consideration of the manner in which the existent is given to us. I 
",consideration manner existent given us
8130,"would not say that there is a true opposition. It seems to me that it is, rather, 
",would say true opposition seems rather
8131,"""nother aspect which is brought to evidence, and that. nevertheless. the original 
",nother aspect brought evidence nevertheless original
8132,"starting point is maintained. Thus, in ldeen II also, it is possible to find passages 
",starting point maintained thus ldeen ii also possible find passages
8133,"which are in line with the citation given (EJ, E - p. 19, F - pp. 20-21. G - p. II). 
",line citation given ej e p f pp g p ii
8134,"Properly understood. Husserl speaks constantly of the constitution of the 
",properly understood husserl speaks constantly constitution
8135,"existent (object), but this constitution is not possible without the subject being 
",existent object constitution possible without subject
8136,"already affected by an existent, which must. thus. exist previously."" 
",already affected existent must thus exist previously
8137,"3. £.!, E - p. 19, F- p. 21, G - p. 12. 
",e p f p g p
8138,"4. £.!. E - p. 19, F - p. 21, G - p. 12. 
",e p f p g p
8139,"5. EJ, E - p. 20, F - p. 22, G - p. 13. Let us note the first appearance of the word 
",ej e p f p g p let us note first appearance word
8140,"""world"" in this book. 
",world book
8141,"6. £.!, E - p. 28, F- p. 31, G - p. 22. 
",e p f p g p
8142,"7. £.!, E - pp. 29-30, F - pp. 33-34, G- p. 24. 
",e pp f pp g p
8143,"8. E.!, E - p. 26, F - pp. 29-30, G - p. 20. 
",e e p f pp g p
8144,"9. £J. E - p. 30, F- pp. 33-34, G - p. 24. 
",j e p f pp g p
8145,"10. £1, E - p. 30, F - pp. 34, G - p. 25. 
",e p f pp g p
8146,"II. £J, E - p. 31, F - p. 35. G - p. 26. 
",ii j e p f p g p
8147,"12. EJ, E - p. 32, F - p. 36, G - pp. 26-27. 
",ej e p f p g pp
8148,"13. EJ, E - p. 34, F -- p. 38, G - p. 29. 
",ej e p f p g p
8149,"14. £J, E - p. 37, F - p. 43, G - p. 33. 
",j e p f p g p
8150,"15. EJ, E - p. 40, F - p. 47, G - p. 37. 
",ej e p f p g p
8151,"16. EJ. E 
",ej e
8152,"p. 41, F - pp. 47-48, G - p. 38. 
",p f pp g p
8153,"17. £.!. E - p. 43, F - p. 49. G - p. 40. 
",e p f p g p
8154,"18. EJ. E - p. 43. F - p. 50, G - p. 41. 
",ej e p f p g p
8155,"19. EJ, E - p. 45, F - p. 52, G - p. 43. 
",ej e p f p g p
8156,"20. EJ, E - p. 46, F - pp. 53-54, G - p. 44. Here are place some passages concerning 
",ej e p f pp g p place passages concerning
8157,"accomplishments, which are, following the observations of Biemel, the starting 
",accomplishments following observations biemel starting
8158,"point of the labors of the Crisis, the publication of which he prepared. 
",point labors crisis publication prepared
8159,"21. EJ, E - p. 50, F - p. 58, G - p. 49. 
",ej e p f p g p
8160,"22. LJ, E - p. 52, F - p. 61, G - p. 49. 
",lj e p f p g p
8161,"23. EJ, E - p. 56, F - p. 65, G - p. 56. 
",ej e p f p g p
8162,"24. EJ, E - p. 60, F 
",ej e p f
8163,"25. EJ, E - pp. 60-61, F - pp. 70-71, G - p. 62. 
",ej e pp f pp g p
8164,"26. EJ, E - p. 62, F - pp. 72-73, G - p. 64. 
",ej e p f pp g p
8165,"27. EJ, E - pp. 64-65, F - p. 75, G - p. 67. 
",ej e pp f p g p
8166,"28. EJ, E - p. 72. F - p. 84, G - p. 74. 
",ej e p f p g p
8167,"29. Ibid. 
",ibid
8168,"30. EJ, E - p. 80, F - p. 95, G - p. 85. 
",ej e p f p g p
8169,"31. EJ, E - p. 82, F - p. 96, G - p. 87. 
",ej e p f p g p
8170,"32. EJ, E - p. 83, F - p. 97, G - p. 88. 
",ej e p f p g p
8171,"33. EJ, E - p. 81, F - p. 96, G - p. 86. 
",ej e p f p g p
8172,"34. EJ, E - p. 83, F - pp. 97-98, G - p. 88. 
",ej e p f pp g p
8173,"35. EJ, E - p. 35, F - p. 40, G - p. 31. 
",ej e p f p g p
8174,"36. EJ, E - p. 83, F - pp. 97-98, G - p. 988. 
",ej e p f pp g p
8175,"37. EJ, E - p. 84, F - p. 98,G - p. 89. 
",ej e p f p g p
8176,"38. EJ, E - p. 86, F - p. 100, G - p. 91. 
",ej e p f p g p
8177,"39. £1, E - p. 86, F - p. 101, G - p. 93. Cf. on Dabei. EJ, E- p. 81, F -po 96, G -po 86. 
",e p f p g p cf dabei ej e p f po g po
8178,"40. EJ, E - p. 86, F - p. 100, G - p. 91. 
",ej e p f p g p
8179,"41. EJ, E - p. 86, F - p. 101, G - p. 92. 
",ej e p f p g p
8180,"42. EJ, E - p. 90, F - p. 105, G - p. 97. 
",ej e p f p g p
8181,"43. EJ, E - p. 91, F - p. 107, G - p. 98. 
",ej e p f p g p
8182,"44. EJ, E - p. 95, F - p. 112, G - p. 104. 
",ej e p f p g p
8183,"45. EJ, E - p. 100, F - p. 118, G - p. 110. 
",ej e p f p g p
8184,"46. EJ, E - p. 101, F - p. 119, G - p. III. 
",ej e p f p g p iii
8185,"47. EJ, E - p. 106, F - p. 124, G - p. 116. 
",ej e p f p g p
8186,"48. EJ, E - p. 107, F - p. 124, G - p. 117. 
",ej e p f p g p
8187,"49. EJ, E - p. 107, F - p. 125, G - p. 117. 
",ej e p f p g p
8188,"50. Ibid. 
",ibid
8189,"51. EJ, E - p. 107, F - pp. 125-26, G - p. 118. 
",ej e p f pp g p
8190,"52. EJ, E - p. 112, F - p. 131, G - p. 124. 
",ej e p f p g p
8191,"53. EJ, E - p. 109, F - p. 126, G - pp. 118-19. 
",ej e p f p g pp
8192,"54. EJ, E - p. 113, F - p. 132, G - p. 125. 
",ej e p f p g p
8193,"55. EJ, E - pp. 113-14, F - p. 133, G - p. 126, Merleau-Ponty will bring to light 
",ej e pp f p g p merleauponty bring light
8194,"similar ideas. 
",similar ideas
8195,"56. EJ, E - p. 114, F - p. 133, G - p. 126. 
",ej e p f p g p
8196,"57. EJ, E - p. 115, F - p. 134, G - p. 127. 
",ej e p f p g p
8197,"58. EJ, E - p. 121, F - p. 142, G - pp. 135-36. 
",ej e p f p g pp
8198,"59. EJ, E - p. 122, F - p. 143, G - pp. 136-37. 
",ej e p f p g pp
8199,"60. EJ, E - p. 122, F - p. 144, G - p. 137. 
",ej e p f p g p
8200,"61. EJ, E - p. 125, F - p. 147, G - p. 141. 
",ej e p f p g p
8201,"62. EJ, E - p. 125, F - pp. 146-47, G - pp. 140-41. 
",ej e p f pp g pp
8202,"63. EJ, E - p. 126, F - p. 149, G - p. 143. 
",ej e p f p g p
8203,"64. EJ, E - p. 133, F - p. 157, G - p. 151. 
",ej e p f p g p
8204,"65. EJ, E - p. 134, F - p. 158, G - p. 152. 
",ej e p f p g p
8205,"66. EJ, E - p. 134, F - p. 158, G - p. 153. 
",ej e p f p g p
8206,"67. EJ, E - p. 134, F - p. 158, G - p. 152. 
",ej e p f p g p
8207,"68. EJ, E - p. 135, F - p. 159, G - p. 153. 
",ej e p f p g p
8208,"69. EJ, E - p. 135, F - p. 160, G - p. 154. 
",ej e p f p g p
8209,"70. EJ, E - p. 136, F - p. 161, G - pp. 155-56. 
",ej e p f p g pp
8210,"71. EJ, E - p. 137, F - p. 162, G - p. 156. 
",ej e p f p g p
8211,"72. EJ, E - p. 137, F - p. 162, G - p. 157. 
",ej e p f p g p
8212,"73. EJ, E - p. 138, F - p. 163, G - pp. 157-58. 
",ej e p f p g pp
8213,"74. EJ, E - p. 139, F - p. 165, G - p. 159. 
",ej e p f p g p
8214,"75. EJ, E - p. 140, F - p. 166, F - p. 160. Bere it might well be asked to what extent 
",ej e p f p f p bere might well asked extent
8215,"this is Landgrebe's interpretation. 
",landgrebes interpretation
8216,"76. EJ, E - p. 144, F - p. 170, G - p. 165. 
",ej e p f p g p
8217,"77. EJ. E - pp. 149-50, F - p. 177. G - p. 171. 
",ej e pp f p g p
8218,"78. EJ, E - p. 149, F - p. 178, G - pp. 171-72. 
",ej e p f p g pp
8219,"79. EJ, E - p. 150, F - p. 178, G - p. 172. 
",ej e p f p g p
8220,"80. Ibid. 
",ibid
8221,"8!. Ibid. 
",ibid
8222,"82. EJ, E - pp. 152-53, F - p. 180, G - p. 174. 
",ej e pp f p g p
8223,"83. EJ, E - p. 152, F - p. 181, G - p. 175. 
",ej e p f p g p
8224,"84. EJ, E - p. 153, F - p. 182, G - pp. 176-77. 
",ej e p f p g pp
8225,"85. EJ, E - p. 154, F - pp. 183-84, G - p. 178. 
",ej e p f pp g p
8226,"86. EJ, E - p. 155, F - p. 184, G - p. 178. 
",ej e p f p g p
8227,"87. EJ, E - p. 155, F - pp. 184-85, G - p. 178. 
",ej e p f pp g p
8228,"88. EJ, E - p. 156, F - p. 186, G - p. 180. 
",ej e p f p g p
8229,"89. EJ, E - p. 158, F - p. 188, G - p. 182. 
",ej e p f p g p
8230,"90. EJ, E - p. 158, F - p. 188, G - pp. 182-83. 
",ej e p f p g pp
8231,"91. EJ, E - p. 158, F - pp. 188-89, G - p. 183. 
",ej e p f pp g p
8232,"92. EJ, E - p. 159, F - p. 189, G - p. 183. 
",ej e p f p g p
8233,"93. EJ, E - p. 159, F - p. 189, G - pp. 183-84. 
",ej e p f p g pp
8234,"94. EJ, E - pp. 160-61, F - p. 191, G - pp. 185-86. 
",ej e pp f p g pp
8235,"95. El, E - p. 161, F - p. 191, G - p. 186. 
",el e p f p g p
8236,"96. E.!. E - pp. 161-62, F - pp. 192-93, G - p. Ill? 
",e e pp f pp g p ill
8237,"97. EJ, E - p. 163, F - p. 194, G - p. 189. 
",ej e p f p g p
8238,"98. Ibid. 
",ibid
8239,"99. EJ, E - p. 165, F - p. 197, G - p. 192. 
",ej e p f p g p
8240,"100. EJ, E - pp. 166-67, F - p. 198, G - p. 194. 
",ej e pp f p g p
8241,"101. EJ, E - p. 169, F - p. 202, G - p. 198. 
",ej e p f p g p
8242,"102. EJ, E - pp. 173-74, F - p. 207, G - p. 203. 
",ej e pp f p g p
8243,"103. EJ, E - p. 177, F - p. 211, G - p. 207. 
",ej e p f p g p
8244,"104. EJ, E - p. 177, F - p. 212, G - p. 208. 
",ej e p f p g p
8245,"105. EJ, E - p. 179, F - p. 214, G - p. 210. 
",ej e p f p g p
8246,"106. Ibid. 
",ibid
8247,"107. Ibid. 
",ibid
8248,"108. EJ, E - pp. 181-82, F - pp. 219-222, G - pp. 216-18. 
",ej e pp f pp g pp
8249,"109. EJ, E - p. 185, F - p. 222, G - p. 218. 
",ej e p f p g p
8250,"110. EJ, E - p. 186, F - p. 223, G - p. 219. 
",ej e p f p g p
8251,"III. EJ, E - p. 190, F - p. 227, G - p. 224. 
",iii ej e p f p g p
8252,"112. EJ, E - p. 189, F - p. 227, G - p. 224. 
",ej e p f p g p
8253,"113. EJ, E - p. 190, F - p. 227, G - p. 224. 
",ej e p f p g p
8254,"114. EJ, E - p. 194, F - p. 233, G 
",ej e p f p g
8255,"115. This certainly would be the place to take account, also, to an extent, as A. Koyre 
",certainly would place take account also extent koyre
8256,"suggested to us, of Busserl's desire in his last years, to make clearly visible that 
",suggested us busserls desire last years make clearly visible
8257,"his doctrine contains the better part of the sound ideas which were developed by 
",doctrine contains better part sound ideas developed
8258,"Heidegger, while avoiding the sophism, the adventitiousness, and the faults 
",heidegger avoiding sophism adventitiousness faults
8259,"which he saw there. The question again comes to mind, particularly in the 
",saw question comes mind particularly
8260,"introduction (for example, EJ, E p. 20, 35, 62; F - pp. 22-23, 39-40, 72-73; G 
",introduction example ej e p f pp g
8261,"pp. 13,30,64), how much is Husserl's, and how much is the interpretation of 
",pp much husserls much interpretation
8262,"Husser! by Landgrebe. 
",husser landgrebe
8263,"116. EJ. E 
",ej e
8264,"pp. 19-20. F·· p. 22. G 
",pp f p g
8265,"117. £J. E 
",j e
8266,"p. 34, F 
",p f
8267,"pp. 39-40. G .. p. 30. 
",pp g p
8268,"118. £J. E .. p. 62, F . p. 73. G 
",j e p f p g
8269,"119. £J, E 
",j e
8270,"p. 65. F·· p. 77. G 
",p f p g
8271,"120. £J, E - p. 38. F - pp. 44-45. G - p. 35. 
",j e p f pp g p
8272,"121. £J, E - p. 165. F - p. 196. <.; . p. 191. See translator's note a. 
",j e p f p p see translators note
8273,"122. £J. E - p. 165. F - p. 196. G - p. 191, Cf. £J. E .. p. 156. F·· p. 186. G p.180. 
",j e p f p g p cf j e p f p g p
8274,"123. EJ. E 
",ej e
8275,"p. 159, F 
",p f
8276,"p. 189. G 
",p g
8277,"124. £J. E - pp. 23-24. F . p. 26. G 
",j e pp f p g
8278,"125. £J, E - p. 39, F - p. 46, G - p. 36. Cf. EJ, E - p. 54. F 
",j e p f p g p cf ej e p f
8279,"p. 63. G p.54. 
",p g p
8280,"126. £J. E - p. 40, F - p. 47. G - p. 37. 
",j e p f p g p
8281,"127. EJ. E .. p. 49. F - p. 57. G - p. 48. 
",ej e p f p g p
8282,"12[1. D. E - p. 55. F 
",e p f
8283,"p. 65, G 
",p g
8284,"129. EJ, E 
",ej e
8285,"p. 54. F 
",p f
8286,"p. 63, G 
",p g
8287,"130. EJ, E - p. 55, F - p. 64, G 
",ej e p f p g
8288,"131. EJ. E- p. 56, F 
",ej e p f
8289,"p. 65, G 
",p g
8290,"132. EJ. E . p. 56. F - p. 66. G- p. 57. 
",ej e p f p g p
8291,"133. For example: EJ. E - pp. 64-65. F- pp. 75-76, G 
",example ej e pp f pp g
8292,"134. EJ, E - p. 58, F - pp. 67-68, G - p. 59: E - p. 67, F·· p. 79. G - p. 71. 
",ej e p f pp g p e p f p g p
8293,"135. EJ, E - p. 59. F - p. 70. G - pp. 61-62. 
",ej e p f p g pp
8294,"136. Cf. also EJ, E - p. 52, F - p. 58. G··· p. 49. Where the life-world seems to depend 
",cf also ej e p f p g p lifeworld seems depend
8295,"on subjective accomplishments. 
",subjective accomplishments
8296,"137. D. E - p. 79, I-
",e p
8297,"p. 93, G 
",p g
8298,"138. EJ, E 
",ej e
8299,"p. 80, F - p. 94, G - p. 85. 
",p f p g p
8300,"139. £J. E· p. 85, F 
",j e p f
8301,"pp. 99-100, G - p. 90. 
",pp g p
